Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
11/27/2020;Live Visibilidade Trans - Educação;Instagram;Live;Não foi ofertada testagem;Coletiva;;273;;617;0
12/01/2020;Live Mês do Combate ao HIV;Instagram;Live;Não foi ofertada testagem;Coletiva;;365;;751;0
12/17/2020;Reels testagem;Instagram;Vídeo Pílula;Autoteste;Coletiva;;;354;16644;0
12/17/2020;Prevenção Combinada;Instagram;;;;;;;16644;
12/23/2020;Prevenção ao HIV no mês da prevenção;Instagram;IGTV;Autoteste;Coletiva;;984;;1024;0
12/29/2020;Autoteste;Instagram;Vídeo Pílula;Autoteste;Coletiva;;100mil;13,1mil;123013;0
12/29/2020;Autoteste;Instagram;;;;;;;123014;
12/31/2020;Retrospectiva 2020;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;316;;707;0
01/02/2021;Antirracismo é o ano todo;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1609;;1141;0
01/05/2021;Pep para Prep - Amigo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3722;2659;;
01/06/2021;Visibilidade Trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;6239;291;7217;0
01/06/2021;Pep para Prep - Amigo;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;2903;;
01/12/2021;Visibilidade Trans ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3288;84;3727;0
01/20/2021;Visibilidade Trans ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3726;151;4125;0
01/24/2021;Visibilidade Trans ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4399;130;4819;0
01/29/2021;Visibilidade Trans na Periferia;Instagram;Live;Não foi ofertada testagem;Coletiva;;;118;553;0
01/30/2021;Lançamento da CT;Facebook;Live;Não foi ofertada testagem;Coletiva;;;;638;0
01/30/2021;Mês da visibilidade trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;9284;250;266;0
02/11/2021;Decisão PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1915;4503;4587;0
02/15/2021;Apresentação Equipe na CT;Instagram;;;;;;;769;
02/27/2021;O que é não-binariedade;Instagram;Live;Não foi ofertada testagem;Coletiva;;1980;502;640;0
02/28/2021;PrEP para menores de 18;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1982;6404;6466;0
03/03/2021;Casa1;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1994;1365;1439;0
03/11/2021;Apresentação da CT;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2001;3619;3821;0
03/13/2021;Apresentação da CT;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2005;2420;2565;0
03/17/2021;Mês das mulheres;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2030;3663;3759;1
03/23/2021;Modo de Prevenção;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;2035;630;974;0
03/25/2021;Pessoas trans em 2021;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;2040;583;611;0
03/27/2021;Respeite pessoas trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;2043;5238;5332;0
04/02/2021;E se a prevenção der errado;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;2050;741;785;0
