Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
01/04/2021;Instagram;07:20:00 PM;08:00:00 PM;12:40:00 AM;GSP;;;;;;0;;;;;;
01/05/2021;Instagram;01:10:00 PM;03:00:00 PM;01:50:00 AM;GSP;;;;;;0;;;;;;
01/06/2021;Instagram;10:30:00 AM;02:00:00 PM;03:30:00 AM;GSP;;;;;;0;;;;;;
01/07/2021;Instagram;01:00:00 PM;03:00:00 PM;02:00:00 AM;GSP;;2;2;0;0;2;3;;;;;
01/08/2021;Instagram;12:00:00 PM;02:00:00 PM;02:00:00 AM;GSP;;5;5;0;0;5;8;;;;;
01/11/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;0;0;1;1;;;;;
01/13/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;8;8;0;0;8;10;1;0;;;
01/14/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;5;5;0;0;5;5;0;0;;;
01/15/2021;Instagram;11:00:00 AM;02:00:00 PM;03:00:00 AM;GSP;;8;5;0;0;5;5;0;0;;;
01/18/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;0;0;1;9;1;0;Início do agendamento do Ulisses. precisará de reembolso. Reagendamento do Giancarlo Dinucci Quilici para Sex 22, às 16h30;;
01/20/2021;Instagram;01:00:00 PM;04:00:00 PM;03:00:00 AM;GSP;;2;2;0;0;0;2;0;0;;;
01/21/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;5;5;0;0;5;5;0;0;;;
01/25/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;2;2;3;0;2;2;0;0;;;
01/27/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;3;3;0;0;3;4;0;0;;;
01/28/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;0;0;1;2;0;0;;;
02/01/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;2;2;3;0;2;2;0;0;;;
02/02/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;1;1;0;0;1;15;0;0;;;
02/03/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;3;3;0;0;3;3;0;1;;;
02/04/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
02/05/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;2;2;0;0;2;4;0;0;;;
02/08/2021;Instagram;12:00:00 PM;02:00:00 PM;02:00:00 AM;GSP;;1;1;5;0;1;1;0;1;;;
02/09/2021;Instagram;11:00:00 AM;02:00:00 PM;03:00:00 AM;GSP;;2;2;4;1;0;0;;0;;;
02/10/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/11/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/12/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/15/2021;Instagram;12:00:00 PM;03:30:00 PM;03:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/16/2021;Instagram;01:00:00 PM;04:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/17/2021;Instagram;12:00:00 PM;01:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/18/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/19/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/22/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/23/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/24/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/25/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
02/26/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/01/2021;Instagram;12:00:00 PM;02:30:00 PM;02:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/02/2021;Instagram;11:00:00 AM;02:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/03/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/04/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/05/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/08/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;3;3;0;0;3;5;0;0;;;
03/09/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;15;0;0;0;0;0;Contato ativo através de likes em fotos;;
03/10/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;10;0;0;0;0;0;Contato ativo através de likes em fotos;;
03/11/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;0;0;1;0;0;Identificada uma mulher trans de 38 e encaminhada para o Estudo Combina;;
03/12/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;17;2;2;2;0;0;Duas pessoas responderam o contato ativo, porém ambas fora do perfil do projeto (mais velhas0 ;;
03/15/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;1;1;12;0;1;1;0;0;Uma mulher trans, também de 38 identificada em Itaquera e encaminhada para o Estudo Combina.;;
03/16/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/17/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;15;0;1;1;1;0;;;
03/18/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;1;1;1;0;0;;;
03/19/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;3;0;0;0;0;0;;;
03/22/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;8;0;0;0;0;0;;;
03/23/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
03/24/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;6;1;1;1;0;0;;;
03/25/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;4;0;0;3;0;0;;;
04/08/2021;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;2;2;8;1;3;1;0;0;Contato receptivo de um gay cis de 31 anos. Encaminhado para o Estudo combina e para ferramentas do SUS;;
04/09/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;2;0;0;0;0;0;;;
04/12/2021;Instagram;10:30:00 AM;03:00:00 PM;04:30:00 AM;GSP;;1;1;4;0;1;2;0;0;Uma pessoa trans não-binária que trabalha com sexo, de 33 anos. Encaminhada para o Estudo Combina e para as Ferramentas do SUS;;
04/13/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;1;1;1;0;0;;;
04/14/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;2;0;0;0;0;0;;;
04/15/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;5;1;1;1;0;0;;;
04/16/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;4;2;0;;;
04/17/2021;Instagram;10:30:00 AM;12:00:00 PM;01:30:00 AM;GSP;;0;0;0;0;0;1;0;1;Agendamento de Marcos Souza;;
